"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MesureCapacite","MesureCapacite","","","",0,*,"","","","null {[]} {[]}
","Les mesures d’une capacité d’accueil précisent une série d’enregistrements indiquant la quantité de lits (ou de places) dans un statut particulier (disponible,…) et dans une temporalité donnée. Le cumul des mesures de capacité donne une vision complète de la capacité d’accueil.","Les mesures d’une capacité d’accueil précisent une série d’enregistrements indiquant la quantité de lits (ou de places) dans un statut particulier (disponible,…) et dans une temporalité donnée. Le cumul des mesures de capacité donne une vision complète de la capacité d’accueil.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MesureCapacite.natureCapacite","MesureCapacite.natureCapacite","","","",0,1,"","","","Coding {[]} {[]}
","Indique si la capacité est exprimée en lits ou en places.","Indique si la capacité est exprimée en lits ou en places.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R329-NatureCapacite/FHIR/TRE-R329-NatureCapacite?vs","",,,,"MesureCapacite.natureCapacite",0,1,"",""
"MesureCapacite.statutCapacite","MesureCapacite.statutCapacite","","","",0,1,"","","","Coding {[]} {[]}
","Permet de préciser le statut des lits ou places décrits.","Permet de préciser le statut des lits ou places décrits.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R330-TypeStatutCapacite/FHIR/TRE-R330-TypeStatutCapacite?vs","",,,,"MesureCapacite.statutCapacite",0,1,"",""
"MesureCapacite.temporaliteCapacite","MesureCapacite.temporaliteCapacite","","","",0,1,"","","","Coding {[]} {[]}
","Indique le moment où cette capacité sera effective. Il est ainsi possible de décrire la situation immédiate, ou de fournir des informations prospectives de capacités, prenant notamment en compte les entrées et sorties déjà identifiés de patients.","Indique le moment où cette capacité sera effective. Il est ainsi possible de décrire la situation immédiate, ou de fournir des informations prospectives de capacités, prenant notamment en compte les entrées et sorties déjà identifiés de patients.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R331-TemporaliteCapacite/FHIR/TRE-R331-TemporaliteCapacite?vs","",,,,"MesureCapacite.temporaliteCapacite",0,1,"",""
"MesureCapacite.nombreCapacite","MesureCapacite.nombreCapacite","","","",0,1,"","","","integer {[]} {[]}
","Quantité de lits ou places de la capacité exprimée.","Quantité de lits ou places de la capacité exprimée.","","","","","","","","","",,,,,"",,,,"MesureCapacite.nombreCapacite",0,1,"",""
"MesureCapacite.precision","MesureCapacite.precision","","","",0,1,"","","","integer {[]} {[]}
","Pourcentage.","Pourcentage.","","","","","","","","","",,,,,"",,,,"MesureCapacite.precision",0,1,"",""
"MesureCapacite.variation","MesureCapacite.variation","","","",0,1,"","","","integer {[]} {[]}
","Variabilité de la capacité.","Variabilité de la capacité.","","","","","","","","","",,,,,"",,,,"MesureCapacite.variation",0,1,"",""
"MesureCapacite.typeSourceCapacite","MesureCapacite.typeSourceCapacite","","","",0,1,"","","","Coding {[]} {[]}
","Indique quel type de source est à l’origine de l’information de capacité.","Indique quel type de source est à l’origine de l’information de capacité.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R335-TypeSourceCapacite/FHIR/TRE-R335-TypeSourceCapacite?vs","",,,,"MesureCapacite.typeSourceCapacite",0,1,"",""
"MesureCapacite.dateMAJCapacite","MesureCapacite.dateMAJCapacite","","","",0,1,"","","","dateTime {[]} {[]}
","Date à laquelle la mesure de la capacité a été mise à jour dans la source.","Date à laquelle la mesure de la capacité a été mise à jour dans la source.","","","","","","","","","",,,,,"",,,,"MesureCapacite.dateMAJCapacite",0,1,"",""
"MesureCapacite.dateConstatCapacite","MesureCapacite.dateConstatCapacite","","","",0,1,"","","","dateTime {[]} {[]}
","Date de constat de la mesure de la capacité.","Date de constat de la mesure de la capacité.","","","","","","","","","",,,,,"",,,,"MesureCapacite.dateConstatCapacite",0,1,"",""
"MesureCapacite.CapaciteActiviteExercee","MesureCapacite.CapaciteActiviteExercee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteActiviteExercee {[]} {[]}
","Lien vers la classe CapaciteActiviteExercee","Lien vers la classe CapaciteActiviteExercee","","","","","","","","","",,,,,"",,,,"MesureCapacite.CapaciteActiviteExercee",1,1,"",""
"MesureCapacite.CapacitePriseCharge","MesureCapacite.CapacitePriseCharge","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapacitePriseCharge {[]} {[]}
","Lien vers la classe CapacitePriseCharge","Lien vers la classe CapacitePriseCharge","","","","","","","","","",,,,,"",,,,"MesureCapacite.CapacitePriseCharge",1,1,"",""
"MesureCapacite.CapaciteAccueil","MesureCapacite.CapaciteAccueil","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteAccueil {[]} {[]}
","Lien vers la classe CapaciteAccueil","Lien vers la classe CapaciteAccueil","","","","","","","","","",,,,,"",,,,"MesureCapacite.CapaciteAccueil",1,1,"",""
