"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ActiviteSociale","ActiviteSociale","","","",0,*,"","","","null {[]} {[]}
","Les équipements sociaux représentent les activités des établissements du domaine social et médico-social enregistrés dans FINESS.Le champ de FINESS comprend l’ensemble des établissements et services sociaux et médico-sociaux (ESSMS), soumis à autorisation préalable, ainsi que quelques catégories d’établissements n’entrant pas dans le régime de l’autorisation.Pour indiquer les services offerts, FINESS identifie ceux-ci à l'aide d'un triplet composé des éléments suivants : discipline d’équipement, mode de fonctionnement (appelé aussi type d’activité) et clientèle.","Les équipements sociaux représentent les activités des établissements du domaine social et médico-social enregistrés dans FINESS.Le champ de FINESS comprend l’ensemble des établissements et services sociaux et médico-sociaux (ESSMS), soumis à autorisation préalable, ainsi que quelques catégories d’établissements n’entrant pas dans le régime de l’autorisation.Pour indiquer les services offerts, FINESS identifie ceux-ci à l'aide d'un triplet composé des éléments suivants : discipline d’équipement, mode de fonctionnement (appelé aussi type d’activité) et clientèle.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ActiviteSociale.dateAutorisation","ActiviteSociale.dateAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date de délivrance de l'autorisation de la discipline sociale.","Date de délivrance de l'autorisation de la discipline sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateAutorisation",0,1,"",""
"ActiviteSociale.dateMajAutorisation","ActiviteSociale.dateMajAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date de dernière mise à jour de l’autorisation.","Date de dernière mise à jour de l’autorisation.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateMajAutorisation",0,1,"",""
"ActiviteSociale.dateDerniereInstallation","ActiviteSociale.dateDerniereInstallation","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle le dernier constat d’installation des places est réalisé.","Date à laquelle le dernier constat d’installation des places est réalisé.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.dateDerniereInstallation",0,1,"",""
"ActiviteSociale.agregatDisciplineEquipementSocialeNiv1","ActiviteSociale.agregatDisciplineEquipementSocialeNiv1","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2.","Agrégat de discipline d'équipement sociale de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R298-AgregatDisciplineEquipSocNiv1/FHIR/TRE-R298-AgregatDisciplineEquipSocNiv1?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv1",0,1,"",""
"ActiviteSociale.agregatDisciplineEquipementSocialeNiv2","ActiviteSociale.agregatDisciplineEquipementSocialeNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","Agrégat de discipline d'équipement sociale de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R299-AgregatDisciplineEquipSocNiv2/FHIR/TRE-R299-AgregatDisciplineEquipSocNiv2?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv2",0,1,"",""
"ActiviteSociale.agregatDisciplineEquipementSocialeNiv3","ActiviteSociale.agregatDisciplineEquipementSocialeNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de discipline d'équipement sociale de niveau 3. L'agrégat de niveau 3 représente des regroupements de disciplines d'équipement.","Agrégat de discipline d'équipement sociale de niveau 3. L'agrégat de niveau 3 représente des regroupements de disciplines d'équipement.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R300-AgregatDisciplineEquipSocNiv3/FHIR/TRE-R300-AgregatDisciplineEquipSocNiv3?vs","",,,,"ActiviteSociale.agregatDisciplineEquipementSocialeNiv3",0,1,"",""
"ActiviteSociale.disciplineEquipementSociale","ActiviteSociale.disciplineEquipementSociale","","","",0,1,"","","","Coding {[]} {[]}
","La discipline détermine la nature de l’activité.","La discipline détermine la nature de l’activité.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R280-DisciplineEquipementSocial/FHIR/TRE-R280-DisciplineEquipementSocial?vs","",,,,"ActiviteSociale.disciplineEquipementSociale",0,1,"",""
"ActiviteSociale.modeFonctionnement","ActiviteSociale.modeFonctionnement","","","",0,1,"","","","Coding {[]} {[]}
","Le mode de fonctionnement précise la modalité d’accueil, d’hébergement et/ou d’ouverture de l’activité associée à la discipline (hébergement complet, externat, accueil de nuit…)Synonyme : type d'activité","Le mode de fonctionnement précise la modalité d’accueil, d’hébergement et/ou d’ouverture de l’activité associée à la discipline (hébergement complet, externat, accueil de nuit…)Synonyme : type d'activité","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R209-TypeActivite/FHIR/TRE-R209-TypeActivite?vs","",,,,"ActiviteSociale.modeFonctionnement",0,1,"",""
"ActiviteSociale.agregatClienteleNiv2","ActiviteSociale.agregatClienteleNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de clientèle de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","Agrégat de clientèle de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégat de niveau 3.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R293-AgregatClienteleNiv2/FHIR/TRE-R293-AgregatClienteleNiv2?vs","",,,,"ActiviteSociale.agregatClienteleNiv2",0,1,"",""
"ActiviteSociale.agregatClienteleNiv3","ActiviteSociale.agregatClienteleNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de clientèle de niveau 3. L'agrégat de niveau 3 représente des regroupements de clientèles.","Agrégat de clientèle de niveau 3. L'agrégat de niveau 3 représente des regroupements de clientèles.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R294-AgregatClienteleNiv3/FHIR/TRE-R294-AgregatClienteleNiv3?vs","",,,,"ActiviteSociale.agregatClienteleNiv3",0,1,"",""
"ActiviteSociale.clientele","ActiviteSociale.clientele","","","",0,1,"","","","Coding {[]} {[]}
","Population prise en charge par l’établissement dans le cadre de l’activité associée à la discipline.Synonyme : public, patientèle","Population prise en charge par l’établissement dans le cadre de l’activité associée à la discipline.Synonyme : public, patientèle","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R279-Clientele/FHIR/TRE-R279-Clientele?vs","",,,,"ActiviteSociale.clientele",0,1,"",""
"ActiviteSociale.ageMinAutorise","ActiviteSociale.ageMinAutorise","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age minimum de la clientèle autorisée.","Age minimum de la clientèle autorisée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMinAutorise",0,1,"",""
"ActiviteSociale.ageMaxAutorise","ActiviteSociale.ageMaxAutorise","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age maximum de la clientèle autorisée.","Age maximum de la clientèle autorisée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMaxAutorise",0,1,"",""
"ActiviteSociale.ageMinInstalle","ActiviteSociale.ageMinInstalle","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age minimum de la clientèle installée.","Age minimum de la clientèle installée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMinInstalle",0,1,"",""
"ActiviteSociale.ageMaxInstalle","ActiviteSociale.ageMaxInstalle","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Patientele {[]} {[]}
","Age maximum de la clientèle installée.","Age maximum de la clientèle installée.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.ageMaxInstalle",0,1,"",""
"ActiviteSociale.suppressionAutorisation","ActiviteSociale.suppressionAutorisation","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de suppression de l'autorisation de l'activité sociale.","Indicateur de suppression de l'autorisation de l'activité sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.suppressionAutorisation",0,1,"",""
"ActiviteSociale.suppressionInstallation","ActiviteSociale.suppressionInstallation","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur de suppression de l’installation de l'activité sociale.","Indicateur de suppression de l’installation de l'activité sociale.","","","","","","","","","",,,,,"",,,,"ActiviteSociale.suppressionInstallation",0,1,"",""
"ActiviteSociale.sourceInformationInstallation","ActiviteSociale.sourceInformationInstallation","","","",0,1,"","","","Coding {[]} {[]}
","Source ayant permis le constat.","Source ayant permis le constat.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R301-SourceInformationInstallation/FHIR/TRE-R301-SourceInformationInstallation?vs","",,,,"ActiviteSociale.sourceInformationInstallation",0,1,"",""
"ActiviteSociale.EntiteGeographique","ActiviteSociale.EntiteGeographique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteGeographique {[]} {[]}
","Lien vers la classe EntiteGeographique","Lien vers la classe EntiteGeographique","","","","","","","","","",,,,,"",,,,"ActiviteSociale.EntiteGeographique",1,1,"",""
"ActiviteSociale.CapaciteActiviteExercee","ActiviteSociale.CapaciteActiviteExercee","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteActiviteExercee {[]} {[]}
","Lien vers la classe CapaciteActiviteExercee","Lien vers la classe CapaciteActiviteExercee","","","","","","","","","",,,,,"",,,,"ActiviteSociale.CapaciteActiviteExercee",0,*,"",""
"ActiviteSociale.CapaciteHabitation","ActiviteSociale.CapaciteHabitation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteHabitation {[]} {[]}
","Lien vers la classe CapaciteHabitation","Lien vers la classe CapaciteHabitation","","","","","","","","","",,,,,"",,,,"ActiviteSociale.CapaciteHabitation",0,1,"",""
